Nombre,Coordenadas
Domeno,"39.6898891071148,-0.9274529048"
Dos-Aguas,"39.2684009985166,-0.7944872606"
Eliana-I,"39.5666499584766,-0.5278757504"
Emperador,"39.5551764515599,-0.3372466156"
Enguera,"38.985577518853,-0.84804212282"
Enova-I,"39.0473442952425,-0.4617206436"
Estivella,"39.71877182856,-0.363041586635"
Estubeny,"39.0123196602415,-0.6141031608"
Faura,"39.7281703235858,-0.2587479968"
Favara,"39.1185426205952,-0.3000507278"
Foios,"39.5440613382038,-0.3536834663"
Font-de-la-Figuera-la,"38.8245112985605,-0.8641654592"
Font-dEn-Carros-la,"38.9170349065388,-0.1603784816"
Fontanars-dels-Alforins,"38.7773579616539,-0.7801335102"
Fortaleny,"39.1786324325862,-0.3143172650"
Fuenterrobles,"39.5860676653682,-1.3661277159"
Gandia,"38.9858522449158,-0.1962664188"
Gatova,"39.5607325901755,-0.4889420742"
Gavarda,"39.0853292069375,-0.5508644357"
Genoves,"38.9882073417142,-0.4772899743"
Gestalgar,"39.5819305196249,-0.8499726506"
Gilet,"39.6746970747489,-0.3281049860"
Godella,"39.5349174929868,-0.4187383393"
Godelleta,"39.431626791766,-0.68751516251"
Granja-de-la-Costera-la,"38.9918329823248,-0.5569828534"
Guadasequies,"38.9287631716418,-0.4925612009"
Guadassuar,"39.1781905073564,-0.5175771964"
Guardamar-de-la-Safor,"38.9638526815396,-0.1455268250"
Higueruelas,"39.7706182506531,-0.8627686289"
Jalance,"39.2087200879045,-1.1152694996"
Jarafuel,"39.147214759709,-1.08240208048"
Llanera-de-Ranes,"38.9986080318498,-0.5897591422"
Llauri,"39.1448953239666,-0.3205175469"
Lliria,"39.6637042179059,-0.6468738977"
Llocnou-de-Sant-Jeroni,"38.9042844579106,-0.2890199671"
Llocnou-dEn-Fenollet,"39.0067509651289,-0.4697613878"
Llombai,"39.296132058072,-0.57200498958"
Llosa-de-Ranes-la,"39.0299825899957,-0.5393510843"
Llutxent,"38.9435059370703,-0.3337469437"
Loriguilla,"39.6035811833344,-0.8519022586"
Losa-del-Obispo,"39.6958312392446,-0.8740457498"
Lugar-Nuevo-de-la-Corona,"39.470239,-0.376805"
Macastre,"39.3531666573929,-0.8008148369"
Manises,"39.503858368265,-0.48747289768"
Manuel,"39.0556817908678,-0.4907783146"
Marines,"39.7062635102704,-0.5423116996"
Masalaves,"39.1520143373145,-0.5141436495"
Massalfassar,"39.5565636051614,-0.3167034681"
Massamagrell,"39.5725906329195,-0.3264221711"
Massanassa,"39.4001114024397,-0.3728170160"
Meliana,"39.5251642121289,-0.3343919561"
Millares,"39.2276861263521,-0.7708010361"
Miramar,"38.9561159744692,-0.1339278934"
Mislata,"39.4751790155645,-0.4206617295"
MogenteoMoixent,"38.8614758798093,-0.8075007182"
Moncada,"39.5567890871642,-0.3912421898"
Montaverner,"38.8877911762998,-0.4916038230"
Montesa,"38.9418635238112,-0.6351048642"
Montichelvo,"38.8979412761869,-0.3349120586"
Montroy,"39.3348003213928,-0.6400344983"
Montserrat,"39.470239,-0.376805"
Museros,"39.5705443285391,-0.3498084965"
Naquera,"39.6459615009936,-0.4149853952"
Navarres,"39.0838581367402,-0.7435978006"
NoveleoNovetle,"38.9812785837028,-0.5499807566"
Oliva,"38.8973026171257,-0.0911006074"
Olleria-I,"38.9105490520161,-0.5469291334"
Olocau,"39.6899886155796,-0.5230146481"
Ontinyent,"38.8196654803458,-0.6637322054"
Otos,"38.8799621205373,-0.4489927616"
Paiporta,"39.4271073520435,-0.4118602722"
Palma-de-Gandia,"38.943667844425,-0.23497346286"
Palmera,"38.9435238025446,-0.1512705687"
Palomar-el,"38.8607960912348,-0.4942122246"
Paterna,"39.5322909036006,-0.4731484149"
Pedralba,"39.5946934237633,-0.7205013861"
Petres,"39.6858522667016,-0.3128214800"
Picanya,"39.4308899380702,-0.4356335798"
Picassent,"39.352389993474,-0.45541896913"
Piles,"38.945888945248,-0.12410356856"
Pinet,"38.9891561435075,-0.3166782528"
Pobla-de-Farnals-la,"39.470239,-0.376805"
Pobla-de-Vallbona-la,"39.5941880931646,-0.5447402613"
Pobla-del-Duc-la,"38.9031377303278,-0.4271544700"
Pobla-Llarga-la,"39.0813039952723,-0.4719694496"
Polinya-de-Xuquer,"39.1924760902426,-0.3733351295"
Potries,"38.9163050280631,-0.1898744598"
Pucol,"39.470239,-0.376805"
Puebla-de-San-Miguel,"40.0660816062422,-1.1340207040"
Puig,"39.5930336868001,-0.3154079316"
Quart-de-les-Valls,"39.7497561034565,-0.2845572347"
Quart-de-Poblet,"39.4816529768907,-0.4424571990"
Quartell,"39.7317348843334,-0.2431379017"
Quatretonda,"38.9630198932389,-0.3954708338"
Quesa,"39.0768667543177,-0.8096028018"
RafelbunoloRafelbunyol,"39.470239,-0.376805"
Rafelcofer,"38.9345796996319,-0.1690614751"
Rafelguaraf,"39.051201991154,-0.44316685152"
Rafol-de-Salem,"38.866199971085,-0.40616454984"
Real-de-Gandia,"38.9493782520293,-0.1996328829"
Real-de-Montroi,"39.3278510624354,-0.6079795469"
Requena,"39.4274720845412,-1.2034723716"
Riba-roja-de-Turia,"39.5071335312122,-0.5579687190"
Riola,"39.1937015137641,-0.3349129193"
Rocafort,"39.5372859445564,-0.4120269121"
Rotgla-i-Corbera,"39.0118006925301,-0.5569988999"
Rotova,"38.9397947953016,-0.2701692616"
Rugat,"38.8823361455313,-0.3596802693"
SaguntooSagunt,"39.7097183232391,-0.2710160139"
Salem,"38.8517283636892,-0.3788618095"
San-Antonio-de-Benageber,"39.470239,-0.376805"
San-Juan-de-enova,"39.0739506771202,-0.4867535940"
Sedavi,"39.4235339170035,-0.3712859015"
Segart,"39.6828328838549,-0.3823055618"
Sellent,"39.0309482486706,-0.5831957401"
Sempere,"38.9198912378882,-0.4686634328"
Senyera,"39.0658369086728,-0.5055360597"
Serra,"39.6798976854211,-0.4663127773"
Siete-Aguas,"39.5028416120443,-0.9231151647"
Silla,"39.3527902283099,-0.4016816661"
Simat-de-la-Valldigna,"39.0368264184778,-0.3342447636"
Sinarcas,"39.7549876850466,-1.2037990916"
Sollana,"39.2832018116409,-0.3763028090"
Sot-de-Chera,"39.5942701452321,-0.9157375812"
Sueca,"39.229271621259,-0.31024274761"
Sumacarcer,"39.0932712978425,-0.6221350896"
Tavernes-Blanques,"39.5085296387569,-0.3641761734"
Tavernes-de-la-Valldigna,"39.0863639768775,-0.2507858496"
Teresa-de-Cofrentes,"39.1123329199815,-0.9694278683"
Terrateig,"38.9019218841285,-0.3123348226"
Titaguas,"39.8503696399153,-1.0806660373"
Torrebaja,"40.1091359029037,-1.2561094781"
Torrella,"38.9883232239974,-0.5758163851"
Torrent,"39.4259112049936,-0.4969023622"
Torres-Torres,"39.7342355904912,-0.3789730877"
Tous,"39.1601523599153,-0.6459907474"
Tuejar,"39.8007544834553,-1.1205418673"
Turis,"39.3805210637978,-0.6703561350"
Utiel,"39.6014381255054,-1.2034157877"
Valencia,"39.4561165311493,-0.3545661635"
Vallada,"38.8982936835318,-0.7078407548"
Vallanca,"40.0616107572679,-1.3581573470"
Valles,"38.9896086673945,-0.5555030703"
Venta-del-Moro,"39.4247406902777,-1.4307569573"
Vilamarxant,"39.5743738734592,-0.6478749393"
Villalonga,"38.8893942473521,-0.2268185862"
Villar-del-Arzobispo,"39.6991354059999,-0.8161800383"
Villargordo-del-Cabriel,"39.5419166423681,-1.4861375226"
Vinalesa,"39.5342598140189,-0.3667076774"
Xativa,"39.0008061588972,-0.5409501884"
Xeraco,"39.0357782038997,-0.2131188209"
Xeresa,"39.0129619191855,-0.2350293107"
Xirivella,"39.4660832958312,-0.4278659820"
Yatova,"39.3588158098337,-0.9222068623"
Yesa-La,"39.9145695374791,-0.9214035331"
Zarra,"39.1052977691609,-1.1139675012"
